ID,sku,post_status,post_title,post_content,post_excerpt,category,tags,stock,regular_price,sale_price,weight,length,width,height,tax_status,tax_class,stock_status,visibility,backorders,featured,manage_stock,featured_image,product_gallery,shipping_class,comment_status,ping_status,menu_order
,ET4045,publish,Twintec Mains - ET4045,,,Клининговое оборудование->Поломоечные машины->Кабельная поломоечная машина,brand-Twintec,,243500,,,,,,none,,instock,,yes,no,no,,http://cleanhouse.in.holmax.ru/images/goods/klinigovoe_oborudovanie/polomoechnye-mashiny/ET4045/01.jpg|http://cleanhouse.in.holmax.ru/images/goods/klinigovoe_oborudovanie/polomoechnye-mashiny/ET4045/02.jpg|http://cleanhouse.in.holmax.ru/images/goods/klinigovoe_oborudovanie/polomoechnye-mashiny/ET4045/03.jpg,,close,open,
,TT1535,publish,Twintec Mains — TT1535S,,,Клининговое оборудование->Поломоечные машины->Кабельная поломоечная машина,brand-Twintec,,135800,,,,,,none,,instock,,yes,no,no,,http://cleanhouse.in.holmax.ru/images/goods/klinigovoe_oborudovanie/polomoechnye-mashiny/TT1535/01.jpg|http://cleanhouse.in.holmax.ru/images/goods/klinigovoe_oborudovanie/polomoechnye-mashiny/TT1535/02.jpg|http://cleanhouse.in.holmax.ru/images/goods/klinigovoe_oborudovanie/polomoechnye-mashiny/TT1535/03.jpg|http://cleanhouse.in.holmax.ru/images/goods/klinigovoe_oborudovanie/polomoechnye-mashiny/TT1535/04.jpg|http://cleanhouse.in.holmax.ru/images/goods/klinigovoe_oborudovanie/polomoechnye-mashiny/TT1535/05.jpg|http://cleanhouse.in.holmax.ru/images/goods/klinigovoe_oborudovanie/polomoechnye-mashiny/TT1535/06.jpg|http://cleanhouse.in.holmax.ru/images/goods/klinigovoe_oborudovanie/polomoechnye-mashiny/TT1535/07.jpg|http://cleanhouse.in.holmax.ru/images/goods/klinigovoe_oborudovanie/polomoechnye-mashiny/TT1535/08.jpg|http://cleanhouse.in.holmax.ru/images/goods/klinigovoe_oborudovanie/polomoechnye-mashiny/TT1535/09.jpg,,close,open,
,CRO-8055,publish,Ride On — CRO-8055,,,Клининговое оборудование->Поломоечные машины->Аккумуляторная поломоечная машина,brand-ride-on,,120586,,,,,,none,,instock,,yes,no,no,,http://cleanhouse.in.holmax.ru/images/goods/klinigovoe_oborudovanie/polomoechnye-mashiny/CRO-8055/01.jpg|http://cleanhouse.in.holmax.ru/images/goods/klinigovoe_oborudovanie/polomoechnye-mashiny/CRO-8055/02.jpg|http://cleanhouse.in.holmax.ru/images/goods/klinigovoe_oborudovanie/polomoechnye-mashiny/CRO-8055/03.jpg|http://cleanhouse.in.holmax.ru/images/goods/klinigovoe_oborudovanie/polomoechnye-mashiny/CRO-8055/04.jpg|http://cleanhouse.in.holmax.ru/images/goods/klinigovoe_oborudovanie/polomoechnye-mashiny/CRO-8055/05.jpg|http://cleanhouse.in.holmax.ru/images/goods/klinigovoe_oborudovanie/polomoechnye-mashiny/CRO-8055/06.jpg,,close,open,
,TRO-650,publish,Ride On — TRO-650,,,Клининговое оборудование->Поломоечные машины->Аккумуляторная поломоечная машина,brand-ride-on,,98603,,,,,,none,,instock,,yes,no,no,,http://cleanhouse.in.holmax.ru/images/goods/klinigovoe_oborudovanie/polomoechnye-mashiny/TRO-650/01.jpg|http://cleanhouse.in.holmax.ru/images/goods/klinigovoe_oborudovanie/polomoechnye-mashiny/TRO-650/02.jpg|http://cleanhouse.in.holmax.ru/images/goods/klinigovoe_oborudovanie/polomoechnye-mashiny/TRO-650/03.jpg,,close,open,
,NVDQ570-2,publish,NVDQ570-2,,,Клининговое оборудование->Профессиональные пылесосы->Пылесосы для сухой уборки,brand-Numatic,,98604,,,,,,none,,instock,,yes,no,no,,http://cleanhouse.in.holmax.ru//images/goods/klinigovoe_oborudovanie/professionalnye-pylesosy/et4045/01.jpg|http://cleanhouse.in.holmax.ru/images/goods/klinigovoe_oborudovanie/professionalnye-pylesosy/et4045/02.jpg|http://cleanhouse.in.holmax.ru/images/goods/klinigovoe_oborudovanie/professionalnye-pylesosy/et4045/03.jpg,,close,open,
, JVP180-11,publish,James JVP180-11,,,Клининговое оборудование->Профессиональные пылесосы->Пылесосы для сухой уборки,brand-Numatic,,98605,,,,,,none,,instock,,yes,no,no,,http://cleanhouse.in.holmax.ru/images/goods/klinigovoe_oborudovanie/professionalnye-pylesosy/jvp180-11/01.jpg,,close,open,
, GVE370,publish,George GVE370,,,Клининговое оборудование->Профессиональные пылесосы->Моющие пылесосы,brand-Numatic,,98606,,,,,,none,,instock,,yes,no,no,,http://cleanhouse.in.holmax.ru/images/goods/klinigovoe_oborudovanie/professionalnye-pylesosy/gve370/01.jpg,,close,open,
,WVD1800AP-2,publish,WVD1800AP-2,,,Клининговое оборудование->Профессиональные пылесосы->Пылеводососы,brand-Numatic,,98608,,,,,,none,,instock,,yes,no,no,,http://cleanhouse.in.holmax.ru/images/goods/klinigovoe_oborudovanie/professionalnye-pylesosy/WVD1800AP-2/01.jpg|http://cleanhouse.in.holmax.ru/images/goods/klinigovoe_oborudovanie/professionalnye-pylesosy/WVD1800AP-2/02.jpg|http://cleanhouse.in.holmax.ru/images/goods/klinigovoe_oborudovanie/professionalnye-pylesosy/WVD1800AP-2/03.jpg,,close,open,
,WVD1800DH-2,publish,WVD1800DH-2,,,Клининговое оборудование->Профессиональные пылесосы->Пылеводососы,brand-Numatic,,98609,,,,,,none,,instock,,yes,no,no,,http://cleanhouse.in.holmax.ru/images/goods/klinigovoe_oborudovanie/professionalnye-pylesosy/WVD1800DH-2/01.jpg|http://cleanhouse.in.holmax.ru/images/goods/klinigovoe_oborudovanie/professionalnye-pylesosy/WVD1800DH-2/02.jpg|http://cleanhouse.in.holmax.ru/images/goods/klinigovoe_oborudovanie/professionalnye-pylesosy/WVD1800DH-2/03.jpg|http://cleanhouse.in.holmax.ru/images/goods/klinigovoe_oborudovanie/professionalnye-pylesosy/WVD1800DH-2/04.jpg|http://cleanhouse.in.holmax.ru/images/goods/klinigovoe_oborudovanie/professionalnye-pylesosy/WVD1800DH-2/05.jpg,,close,open,
,NVQ570-2,publish,NVQ570-2,,,Клининговое оборудование->Профессиональные пылесосы->Промышленные пылесосы,brand-Numatic,,98610,,,,,,none,,instock,,yes,no,no,,http://cleanhouse.in.holmax.ru/images/goods/klinigovoe_oborudovanie/professionalnye-pylesosy/NVQ570-2/01.jpg|http://cleanhouse.in.holmax.ru/images/goods/klinigovoe_oborudovanie/professionalnye-pylesosy/NVQ570-2/02.jpg|http://cleanhouse.in.holmax.ru/images/goods/klinigovoe_oborudovanie/professionalnye-pylesosy/NVQ570-2/03.jpg|http://cleanhouse.in.holmax.ru/images/goods/klinigovoe_oborudovanie/professionalnye-pylesosy/NVQ570-2/04.jpg|http://cleanhouse.in.holmax.ru/images/goods/klinigovoe_oborudovanie/professionalnye-pylesosy/NVQ570-2/05.jpg|http://cleanhouse.in.holmax.ru/images/goods/klinigovoe_oborudovanie/professionalnye-pylesosy/NVQ570-2/06.jpg,,close,open,
